Dataset,Self-loops,1,2,3,4,5,6,1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,1_mean_str,2_mean_str,3_mean_str,4_mean_str,5_mean_str,6_mean_str,1_std,2_std,3_std,4_std,5_std,6_std,1_std_str,2_std_str,3_std_str,4_std_str,5_std_str,6_std_str,1_expected,2_expected,1_expected_str,2_expected_str,1_diff,1_diff_str,2_diff,2_diff_str
Planetoid: Cora,\emoji{check-mark},\num{0.2753171986954344}\pm \num{0.12774072320635851},\num{0.17374195727135344}\pm \num{0.11240366035757633},\num{0.09225183174779077}\pm \num{0.1062133935119413},\num{0.0689790135700717}\pm \num{0.10464343981486578},\num{0.05208076649496}\pm \num{0.10555605011913506},\num{0.04452721586628576}\pm \num{0.10585470369444965},0.2753171986954344,0.1737419572713534,0.0922518317477907,0.0689790135700717,0.05208076649496,0.0445272158662857,\num{0.2753171986954344},\num{0.17374195727135344},\num{0.09225183174779077},\num{0.0689790135700717},\num{0.05208076649496},\num{0.04452721586628576},0.1277407232063585,0.1124036603575763,0.1062133935119413,0.1046434398148657,0.105556050119135,0.1058547036944496,\num{0.12774072320635851},\num{0.11240366035757633},\num{0.1062133935119413},\num{0.10464343981486578},\num{0.10555605011913506},\num{0.10585470369444965},0.2041616360095942,0.0839683716417921,\num{0.20416163600959422},\num{0.08396837164179215},0.0711555626858402,\num{0.0711555626858402},0.0897735856295613,\num{0.0897735856295613}
Planetoid: Cora,\emoji{cross-mark},\num{0.0}\pm \num{0.0},\num{0.21260795}\pm \num{0.20733474},\num{0.016834421}\pm \num{0.031987876},\num{0.090490595}\pm \num{0.20378947},\num{0.014111678}\pm \num{0.03486005},\num{0.06501487}\pm \num{0.20579123},0.0,0.2126079499721527,0.0168344210833311,0.0904905945062637,0.0141116781160235,0.0650148689746856,\num{0.0},\num{0.21260795},\num{0.016834421},\num{0.090490595},\num{0.014111678},\num{0.06501487},0.0,0.2073347419500351,0.0319878756999969,0.203789472579956,0.0348600484430789,0.2057912349700927,\num{0.0},\num{0.20733474},\num{0.031987876},\num{0.20378947},\num{0.03486005},\num{0.20579123},0.0,0.0916653648018837,\num{0},\num{0.091665365},0.0,\num{0.0},0.120942585170269,\num{0.12094258517026901}
Planetoid: CiteSeer,\emoji{check-mark},\num{0.3500960933022648}\pm \num{0.14010157630742734},\num{0.27402875867598203}\pm \num{0.13570477884207083},\num{0.1995069101375161}\pm \num{0.1573648608020989},\num{0.17616824342669976}\pm \num{0.16411067660410725},\num{0.1566966724069442}\pm \num{0.1714132323630711},\num{0.1468470673841236}\pm \num{0.17531812203347774},0.3500960933022648,0.274028758675982,0.1995069101375161,0.1761682434266997,0.1566966724069442,0.1468470673841236,\num{0.3500960933022648},\num{0.27402875867598203},\num{0.1995069101375161},\num{0.17616824342669976},\num{0.1566966724069442},\num{0.1468470673841236},0.1401015763074273,0.1357047788420708,0.1573648608020989,0.1641106766041072,0.1714132323630711,0.1753181220334777,\num{0.14010157630742734},\num{0.13570477884207083},\num{0.1573648608020989},\num{0.16411067660410725},\num{0.1714132323630711},\num{0.17531812203347774},0.2647985224379017,0.1263672203170177,\num{0.2647985224379017},\num{0.12636722031701778},0.0852975708643631,\num{0.08529757086436313},0.1476615383589642,\num{0.14766153835896426}
Planetoid: CiteSeer,\emoji{cross-mark},\num{0.0}\pm \num{0.0},\num{0.3988276}\pm \num{0.31116065},\num{0.01707225}\pm \num{0.039937202},\num{0.28699535}\pm \num{0.35043353},\num{0.018945783}\pm \num{0.046357792},\num{0.25332323}\pm \num{0.3649816},0.0,0.3988276124000549,0.0170722492039203,0.2869953513145447,0.0189457833766937,0.2533232271671295,\num{0.0},\num{0.3988276},\num{0.01707225},\num{0.28699535},\num{0.018945783},\num{0.25332323},0.0,0.3111606538295746,0.0399372018873691,0.3504335284233093,0.0463577918708324,0.3649815917015075,\num{0.0},\num{0.31116065},\num{0.039937202},\num{0.35043353},\num{0.046357792},\num{0.3649816},0.0,0.1446456909179687,\num{0},\num{0.14464569},0.0,\num{0.0},0.2541819214820862,\num{0.2541819214820862}
Planetoid: PubMed,\emoji{check-mark},\num{0.33947667546004556}\pm \num{0.1687293370083133},\num{0.10440860540592067}\pm \num{0.06799267994146202},\num{0.03257595628999932}\pm \num{0.03748430825288423},\num{0.017871887051941957}\pm \num{0.024460339874375406},\num{0.007800962164918373}\pm \num{0.015177046633223163},\num{0.004298658171341355}\pm \num{0.010322730383143998},0.3394766754600455,0.1044086054059206,0.0325759562899993,0.0178718870519419,0.0078009621649183,0.0042986581713413,\num{0.33947667546004556},\num{0.10440860540592067},\num{0.03257595628999932},\num{0.017871887051941957},\num{0.007800962164918373},\num{0.004298658171341355},0.1687293370083133,0.067992679941462,0.0374843082528842,0.0244603398743754,0.0151770466332231,0.0103227303831439,\num{0.1687293370083133},\num{0.06799267994146202},\num{0.03748430825288423},\num{0.024460339874375406},\num{0.015177046633223163},\num{0.010322730383143998},0.1819498842051444,0.0562494478326703,\num{0.18194988420514444},\num{0.056249447832670364},0.1575267912549011,\num{0.15752679125490113},0.0481591575732503,\num{0.04815915757325031}
Planetoid: PubMed,\emoji{cross-mark},\num{0.0}\pm \num{0.0},\num{0.091916986}\pm \num{0.09430054},\num{0.0016883755}\pm \num{0.0058518667},\num{0.017526256}\pm \num{0.03066294},\num{0.0011702152}\pm \num{0.0044812323},\num{0.003668824}\pm \num{0.011281226},0.0,0.091916985809803,0.0016883754869922,0.0175262559205293,0.0011702151969075,0.0036688239779323,\num{0.0},\num{0.091916986},\num{0.0016883755},\num{0.017526256},\num{0.0011702152},\num{0.003668824},0.0,0.0943005383014679,0.0058518666774034,0.0306629408150911,0.0044812322594225,0.0112812258303165,\num{0.0},\num{0.09430054},\num{0.0058518667},\num{0.03066294},\num{0.0044812323},\num{0.011281226},0.0,0.0596020296216011,\num{0},\num{0.05960203},0.0,\num{0.0},0.0323149561882019,\num{0.032314956188201904}
CitationFull: DBLP,\emoji{check-mark},\num{0.27184352573053755}\pm \num{0.16523902873115354},\num{0.151854903788674}\pm \num{0.12828143723625166},\num{0.07621134537515015}\pm \num{0.12017481905731667},\num{0.057391816916176494}\pm \num{0.11733788167410086},\num{0.04583879114281874}\pm \num{0.11650962867139826},\num{0.0411157325457905}\pm \num{0.11623463144293872},0.2718435257305375,0.151854903788674,0.0762113453751501,0.0573918169161764,0.0458387911428187,0.0411157325457905,\num{0.27184352573053755},\num{0.151854903788674},\num{0.07621134537515015},\num{0.057391816916176494},\num{0.04583879114281874},\num{0.0411157325457905},0.1652390287311535,0.1282814372362516,0.1201748190573166,0.1173378816741008,0.1165096286713982,0.1162346314429387,\num{0.16523902873115354},\num{0.12828143723625166},\num{0.12017481905731667},\num{0.11733788167410086},\num{0.11650962867139826},\num{0.11623463144293872},0.1435074889809359,0.0462672135024708,\num{0.14350748898093596},\num{0.046267213502470865},0.1283360367496016,\num{0.1283360367496016},0.1055876902862031,\num{0.10558769028620313}
CitationFull: DBLP,\emoji{cross-mark},\num{0.0}\pm \num{0.0},\num{0.18573442}\pm \num{0.23463286},\num{0.004685337}\pm \num{0.012634584},\num{0.08913916}\pm \num{0.2331492},\num{0.0028468564}\pm \num{0.011611949},\num{0.07321671}\pm \num{0.23387109},0.0,0.1857344210147857,0.0046853371895849,0.0891391634941101,0.0028468563687056,0.0732167065143585,\num{0.0},\num{0.18573442},\num{0.004685337},\num{0.08913916},\num{0.0028468564},\num{0.07321671},0.0,0.2346328645944595,0.012634583748877,0.2331492006778717,0.0116119487211108,0.2338710874319076,\num{0.0},\num{0.23463286},\num{0.012634584},\num{0.2331492},\num{0.011611949},\num{0.23387109},0.0,0.0485117174685001,\num{0},\num{0.048511717},0.0,\num{0.0},0.1372227035462856,\num{0.13722270354628563}
Amazon: Computers,\emoji{check-mark},\num{0.0788756246598174}\pm \num{0.09644657409924859},\num{0.02235594292286273}\pm \num{0.0449194046445746},\num{0.0055792725663614436}\pm \num{0.03338061592652591},\num{0.003590332367882722}\pm \num{0.031680452865369656},\num{0.0028672075739127026}\pm \num{0.031396763785787055},\num{0.002664118570676193}\pm \num{0.03133034310020859},0.0788756246598174,0.0223559429228627,0.0055792725663614,0.0035903323678827,0.0028672075739127,0.0026641185706761,\num{0.0788756246598174},\num{0.02235594292286273},\num{0.0055792725663614436},\num{0.003590332367882722},\num{0.0028672075739127026},\num{0.002664118570676193},0.0964465740992485,0.0449194046445746,0.0333806159265259,0.0316804528653696,0.031396763785787,0.0313303431002085,\num{0.09644657409924859},\num{0.0449194046445746},\num{0.03338061592652591},\num{0.031680452865369656},\num{0.031396763785787055},\num{0.03133034310020859},0.0266650554358999,0.0057144816062733,\num{0.026665055435899972},\num{0.00571448160627339},0.0522105692239174,\num{0.052210569223917425},0.0166414613165893,\num{0.01664146131658934}
Amazon: Computers,\emoji{cross-mark},\num{0.0}\pm \num{0.0},\num{0.023424393}\pm \num{0.06764839},\num{0.0023119026}\pm \num{0.012156788},\num{0.005118413}\pm \num{0.057773616},\num{0.001149661}\pm \num{0.013951696},\num{0.00424888}\pm \num{0.057262883},0.0,0.0234243925660848,0.0023119025863707,0.0051184128969907,0.001149661024101,0.0042488798499107,\num{0.0},\num{0.023424393},\num{0.0023119026},\num{0.005118413},\num{0.001149661},\num{0.00424888},0.0,0.0676483884453773,0.0121567882597446,0.0577736161649227,0.0139516964554786,0.0572628825902938,\num{0.0},\num{0.06764839},\num{0.012156788},\num{0.057773616},\num{0.013951696},\num{0.057262883},0.0,0.0057473247870802,\num{0},\num{0.005747325},0.0,\num{0.0},0.0176770677790045,\num{0.017677067779004574}
