,model,dataset,num_layers,self_loops,run,train_loss,train_acc,test_acc,time
0,GCN,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{3}{900}$",1,False,0,1.6076689958572388,0.8133333333333334,0.78,1.6432726383209229
1,GCN,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{3}{900}$",1,True,0,1.670647382736206,0.8133333333333334,0.76,0.0827462673187255
2,MLP,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{3}{900}$",1,False,0,1.4079430103302002,0.7366666666666667,0.66,0.087625503540039
3,MLP,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{3}{900}$",1,True,0,1.3837599754333496,0.79,0.675,0.0601613521575927
4,GCN,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{3}{900}$",2,False,0,0.3660112023353576,0.98,0.97,0.1070244312286377
5,GCN,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{3}{900}$",2,True,0,0.3289527595043182,0.9733333333333334,0.97,0.1122491359710693
6,MLP,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{3}{900}$",2,False,0,0.3987460434436798,0.8766666666666667,0.66,0.0863776206970214
7,MLP,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{3}{900}$",2,True,0,0.3997797667980194,0.87,0.685,0.0945911407470703
8,GCN,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{3}{900}$",3,False,0,0.2343789488077163,0.9333333333333332,0.925,0.1653015613555908
9,GCN,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{3}{900}$",3,True,0,0.1269648075103759,0.9733333333333334,0.96,0.1523129940032959
10,MLP,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{3}{900}$",3,False,0,0.2517333328723907,0.91,0.65,0.0928685665130615
11,MLP,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{3}{900}$",3,True,0,0.248839870095253,0.93,0.635,0.1052961349487304
12,GCN,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{3}{900}$",4,False,0,0.1724756509065628,0.9533333333333334,0.94,0.1748847961425781
13,GCN,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{3}{900}$",4,True,0,0.1312656998634338,0.9633333333333334,0.94,0.1730411052703857
14,MLP,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{3}{900}$",4,False,0,0.0729162245988845,0.9866666666666668,0.635,0.118520975112915
15,MLP,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{3}{900}$",4,True,0,0.1113705560564994,0.98,0.61,0.1289548873901367
16,GCN,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{3}{900}$",5,False,0,0.2456817924976349,0.9333333333333332,0.87,0.2078957557678222
17,GCN,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{3}{900}$",5,True,0,0.2365097254514694,0.9366666666666666,0.895,0.1918787956237793
18,MLP,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{3}{900}$",5,False,0,0.03024148568511,1.0,0.59,0.135246992111206
19,MLP,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{3}{900}$",5,True,0,0.0281714983284473,1.0,0.555,0.1217150688171386
20,GCN,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{3}{900}$",6,False,0,0.7285283803939819,0.75,0.695,0.228086233139038
21,GCN,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{3}{900}$",6,True,0,0.5010877251625061,0.82,0.74,0.2306976318359375
22,MLP,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{3}{900}$",6,False,0,0.0210721753537654,1.0,0.555,0.1586260795593261
23,MLP,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{3}{900}$",6,True,0,0.0385484509170055,0.9866666666666668,0.495,0.1411821842193603
24,GCN,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{6}{900}$",1,False,0,1.831400752067566,0.7066666666666667,0.685,0.0846421718597412
25,GCN,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{6}{900}$",1,True,0,1.8146042823791504,0.7933333333333333,0.78,0.0838434696197509
26,MLP,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{6}{900}$",1,False,0,1.346338152885437,0.7866666666666666,0.715,0.0749964714050293
27,MLP,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{6}{900}$",1,True,0,1.3706344366073608,0.7933333333333333,0.705,0.0635550022125244
28,GCN,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{6}{900}$",2,False,0,0.7157743573188782,0.9466666666666668,0.93,0.1194841861724853
29,GCN,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{6}{900}$",2,True,0,0.6909775137901306,0.9566666666666668,0.915,0.1097869873046875
30,MLP,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{6}{900}$",2,False,0,0.3758314251899719,0.8933333333333333,0.69,0.0874950885772705
31,MLP,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{6}{900}$",2,True,0,0.3699463605880737,0.8966666666666666,0.725,0.0915086269378662
32,GCN,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{6}{900}$",3,False,0,0.5421988368034363,0.8466666666666667,0.82,0.1417756080627441
33,GCN,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{6}{900}$",3,True,0,0.5156400203704834,0.88,0.82,0.161884069442749
34,MLP,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{6}{900}$",3,False,0,0.1711726188659668,0.9633333333333334,0.695,0.0952837467193603
35,MLP,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{6}{900}$",3,True,0,0.1820226013660431,0.9633333333333334,0.69,0.0950899124145507
36,GCN,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{6}{900}$",4,False,0,0.9763176441192628,0.6633333333333333,0.575,0.1641683578491211
37,GCN,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{6}{900}$",4,True,0,0.8566884398460388,0.8033333333333333,0.64,0.1655225753784179
38,MLP,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{6}{900}$",4,False,0,0.0711835697293281,0.99,0.635,0.1265866756439209
39,MLP,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{6}{900}$",4,True,0,0.0714820697903633,0.9833333333333332,0.65,0.1454262733459472
40,GCN,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{6}{900}$",5,False,0,1.7395607233047483,0.3966666666666666,0.325,0.2150967121124267
41,GCN,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{6}{900}$",5,True,0,1.0929018259048462,0.6066666666666667,0.525,0.2075870037078857
42,MLP,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{6}{900}$",5,False,0,0.0363399274647235,1.0,0.585,0.1294305324554443
43,MLP,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{6}{900}$",5,True,0,0.0377432592213153,0.9966666666666668,0.62,0.1414177417755127
44,GCN,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{6}{900}$",6,False,0,1.819353461265564,0.26,0.205,0.2235860824584961
45,GCN,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{6}{900}$",6,True,0,1.5726828575134275,0.4566666666666666,0.405,0.2316257953643798
46,MLP,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{6}{900}$",6,False,0,0.0253692530095577,0.9966666666666668,0.58,0.1706297397613525
47,MLP,"$p_{ii}=\nicefrac{6}{100}$, $p_{ij}=\nicefrac{6}{900}$",6,True,0,0.0202069971710443,1.0,0.615,0.1483216285705566
48,GCN,"$p_{ii}=\nicefrac{3}{100}$, $p_{ij}=\nicefrac{6}{900}$",1,False,0,2.0085768699646,0.43,0.31,0.0902252197265625
49,GCN,"$p_{ii}=\nicefrac{3}{100}$, $p_{ij}=\nicefrac{6}{900}$",1,True,0,1.922390699386597,0.51,0.37,0.0894093513488769
50,MLP,"$p_{ii}=\nicefrac{3}{100}$, $p_{ij}=\nicefrac{6}{900}$",1,False,0,1.359372615814209,0.7366666666666667,0.65,0.0698118209838867
51,MLP,"$p_{ii}=\nicefrac{3}{100}$, $p_{ij}=\nicefrac{6}{900}$",1,True,0,1.381300926208496,0.7266666666666667,0.675,0.0648462772369384
52,GCN,"$p_{ii}=\nicefrac{3}{100}$, $p_{ij}=\nicefrac{6}{900}$",2,False,0,1.2931591272354126,0.6633333333333333,0.565,0.1071095466613769
53,GCN,"$p_{ii}=\nicefrac{3}{100}$, $p_{ij}=\nicefrac{6}{900}$",2,True,0,1.0445246696472168,0.74,0.695,0.125859260559082
54,MLP,"$p_{ii}=\nicefrac{3}{100}$, $p_{ij}=\nicefrac{6}{900}$",2,False,0,0.4126175343990326,0.86,0.7,0.0846374034881591
55,MLP,"$p_{ii}=\nicefrac{3}{100}$, $p_{ij}=\nicefrac{6}{900}$",2,True,0,0.4058093130588531,0.8733333333333333,0.705,0.0905029773712158
56,GCN,"$p_{ii}=\nicefrac{3}{100}$, $p_{ij}=\nicefrac{6}{900}$",3,False,0,1.6257977485656738,0.4266666666666667,0.325,0.1707518100738525
57,GCN,"$p_{ii}=\nicefrac{3}{100}$, $p_{ij}=\nicefrac{6}{900}$",3,True,0,1.2073583602905271,0.58,0.465,0.163750410079956
58,MLP,"$p_{ii}=\nicefrac{3}{100}$, $p_{ij}=\nicefrac{6}{900}$",3,False,0,0.2432720959186554,0.95,0.625,0.1056041717529296
59,MLP,"$p_{ii}=\nicefrac{3}{100}$, $p_{ij}=\nicefrac{6}{900}$",3,True,0,0.2955977916717529,0.9233333333333332,0.65,0.1000714302062988
60,GCN,"$p_{ii}=\nicefrac{3}{100}$, $p_{ij}=\nicefrac{6}{900}$",4,False,0,1.779954195022583,0.3133333333333333,0.25,0.1816463470458984
61,GCN,"$p_{ii}=\nicefrac{3}{100}$, $p_{ij}=\nicefrac{6}{900}$",4,True,0,1.6113815307617188,0.4666666666666667,0.38,0.1712665557861328
62,MLP,"$p_{ii}=\nicefrac{3}{100}$, $p_{ij}=\nicefrac{6}{900}$",4,False,0,0.0849054530262947,0.9833333333333332,0.625,0.1282658576965332
63,MLP,"$p_{ii}=\nicefrac{3}{100}$, $p_{ij}=\nicefrac{6}{900}$",4,True,0,0.1196935176849365,0.9833333333333332,0.595,0.1202683448791503
64,GCN,"$p_{ii}=\nicefrac{3}{100}$, $p_{ij}=\nicefrac{6}{900}$",5,False,0,2.033976554870605,0.25,0.175,0.2086334228515625
65,GCN,"$p_{ii}=\nicefrac{3}{100}$, $p_{ij}=\nicefrac{6}{900}$",5,True,0,1.9764764308929443,0.2566666666666666,0.16,0.2142238616943359
66,MLP,"$p_{ii}=\nicefrac{3}{100}$, $p_{ij}=\nicefrac{6}{900}$",5,False,0,0.0483157634735107,0.9933333333333332,0.555,0.1372911930084228
